variant,entropy_bits,dup_rate_pct,num_supports
baseline,1.48102,6.454666666666666,100
ce_g010,1.6322800000000002,6.041333333333333,100
ce_g020,1.5298,4.104,100
k40,1.48102,8.251333333333333,100
mmr_off,1.4784333333333335,7.972666666666667,100
